1392280589380991 128 #audio: RC signal regained
1392280589573833 128 #audio: warning: reject SEATBELT
1392280591605560 128 #audio: warning: reject SEATBELT
1392280593748200 128 [cmd] ARMED by RC
1392280593865019 128 #audio: warning: reject SEATBELT
1392280593954310   0 [cmd] state: arm 2, main 0, nav 1
1392280595677340 128 #audio: warning: reject SEATBELT
1392280597703815 128 #audio: warning: reject SEATBELT
1392280599722897 128 #audio: warning: reject SEATBELT
1392280601774453 128 #audio: warning: reject SEATBELT
1392280603806354 128 #audio: warning: reject SEATBELT
1392280607733526   0 #audio: warning: reject SEATBELT
1392280609789695 128 #audio: warning: reject SEATBELT
1392280611825893 128 #audio: warning: reject SEATBELT
1392280613800973 128 #audio: warning: reject SEATBELT
1392280615881812 128 #audio: warning: reject SEATBELT
1392280617920463 128 #audio: warning: reject SEATBELT
1392280619892441 128 #audio: warning: reject SEATBELT
1392280621923323   0 #audio: warning: reject SEATBELT
1392280623943988   0 #audio: warning: reject SEATBELT
1392280626006507   0 #audio: warning: reject SEATBELT
1392280628002304 128 #audio: warning: reject SEATBELT
1392280630054866 128 #audio: warning: reject SEATBELT
1392280632111472 128 #audio: warning: reject SEATBELT
1392280634080778 128 #audio: warning: reject SEATBELT
1392280636147579 128 #audio: warning: reject SEATBELT
1392280636233358 128 [cmd] DISARMED by RC
1392280636366286 128 [cmd] state: arm 1, main 0, nav 1
1392280638134444 128 #audio: warning: reject SEATBELT
